Additional run info,,block size,2^4 x 2^4,optimization flag,-O2,Matrix element datatype,float

matrix_size,exec_time-0,effective_bandwidth-0,exec_time-1,effective_bandwidth-1,exec_time-2,effective_bandwidth-2,exec_time-3,effective_bandwidth-3,exec_time-4,effective_bandwidth-4,exec_time-5,effective_bandwidth-5,exec_time-6,effective_bandwidth-6,exec_time-7,effective_bandwidth-7,exec_time-8,effective_bandwidth-8,exec_time-9,effective_bandwidth-9,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth
2^6,0.000016,2.016000,0.000012,2.688000,0.000012,2.688000,0.000012,2.688000,0.000012,2.688000,0.000012,2.688000,0.000002,16.128000,0.000003,10.752000,0.000002,16.128000,0.000003,10.752000,0.000009,0.000005,6.921600,5.590539
2^7,0.000009,14.449778,0.000008,16.256000,0.000008,16.256000,0.000008,16.256000,0.000008,16.256000,0.000008,16.256000,0.000008,16.256000,0.000009,14.449778,0.000008,16.256000,0.000009,14.449778,0.000008,0.000000,15.714133,0.827715
2^8,0.000035,14.921143,0.000035,14.921143,0.000035,14.921143,0.000035,14.921143,0.000035,14.921143,0.000035,14.921143,0.000036,14.506667,0.000035,14.921143,0.000036,14.506667,0.000035,14.921143,0.000035,0.000000,14.838248,0.165790
2^9,0.000133,15.737263,0.000128,16.352000,0.000128,16.352000,0.000130,16.100431,0.000129,16.225240,0.000128,16.352000,0.000128,16.352000,0.000128,16.352000,0.000128,16.352000,0.000128,16.352000,0.000129,0.000002,16.252693,0.189378
2^10,0.000722,11.607224,0.000578,14.498990,0.000564,14.858894,0.000539,15.548082,0.000552,15.181913,0.000537,15.605989,0.000542,15.462022,0.000536,15.635104,0.000548,15.292730,0.000568,14.754254,0.000569,0.000053,14.844520,1.140339
2^11,0.003319,10.104865,0.003730,8.991434,0.003503,9.574093,0.003552,9.442018,0.003425,9.792131,0.003469,9.667930,0.005186,6.467036,0.003466,9.676298,0.003842,8.729320,0.003581,9.365554,0.003707,0.000513,9.181068,0.978350
2^12,0.015381,8.724073,0.019146,7.008511,0.021560,6.223792,0.018108,7.410258,0.017096,7.848910,0.015147,8.858847,0.015103,8.884656,0.015157,8.853003,0.017856,7.514839,0.018208,7.369561,0.017276,0.002028,7.869645,0.879979
2^13,0.072391,7.415361,0.072970,7.356522,0.065202,8.232959,0.067430,7.960928,0.068773,7.805467,0.067995,7.894777,0.066233,8.104802,0.067197,7.988532,0.069785,7.692275,0.097276,5.518374,0.071525,0.008902,7.597000,0.741671
2^14,0.958045,2.241390,0.293564,7.314768,0.314998,6.817036,0.324381,6.619847,0.320699,6.695851,0.291884,7.356870,0.295519,7.266377,0.292353,7.345068,0.291678,7.362066,0.293891,7.306629,0.367701,0.197162,6.632590,1.490186
2^15,4.174549,2.057629,1.498910,5.730613,1.388383,6.186818,1.623701,5.290181,1.396322,6.151642,1.597827,5.375846,1.969707,4.360888,1.604309,5.354126,1.963674,4.374286,2.979085,2.883326,2.019647,0.844699,4.776535,1.306061
